ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2
lp_0306	1060	1146	935	1092
lp_0307	869	932	775	984
lp_0308	1447	1581	1409	1655
lp_0310	960	927	18108	18980
lp_0311	228	230	72	66
lp_0312	418	227	220	157
lp_0313	6661	6373	5410	8322
lp_0314	47	85	57	52
lp_0315	2318	2625	2175	2059
lp_0316	1311	1462	1201	1162
lp_0317	2048	2231	2057	2138
lp_0318	1842	2064	1780	2095
lp_0319	670	681	704	743
lp_0320	2270	3087	7000	8036
lp_0321	1004	1062	740	842
lp_0322	2003	2270	1409	1811
lp_0324	1495	989	1283	621
lp_0325	2234	2063	594	680
lp_0326	3973	3593	1426	1410
lp_0327	1855	1509	717	639
lp_0329	2062	2369	153	208
lp_0330	113192	135182	104334	104613
lp_0331	2485	3049	3661	3367
lp_0332	2887	3624	3190	3568
lp_0333	2333	3059	1969	3208
lp_0334	5523	6406	12983	12694
lp_0335	2744	3212	4064	4114
lp_0336	87	45	70	98
lp_0337	204	190	182	276
lp_0339	535	581	508	659
lp_0340	1830	1878	1534	1513
lp_0343	4786	4939	2765	2234
lp_0344	8025	8554	5075	4405
lp_0346	1	4	10	2
lp_0347	300	271	175	278
lp_0348	722	720	543	607
lp_0349	4141	4366	229	164
lp_0350	37	28	28	32
lp_0351	1505	1813	1334	1059
lp_0353	30	34	21	21
lp_0354	537	658	576	684
lp_0357	593	586	480	432
lp_0358	1116	1382	1334	1403
lp_0359	776	1001	755	792
lp_0360	655	729	551	754
lp_0361	569	668	497	452
lp_0362	5754	6718	3447	3824
lp_0363	3719	5139	6767	8353
lp_0364	796	832	1159	1637
lp_0367	1698	1869	2875	3970
lp_0368	1651	1726	2500	3326
lp_0369	3876	4646	6472	7765
lp_0371	134	162	6893	6796
lp_0372	13	27	966	1002
lp_0373	70	38	59	73
lp_0423	1487	744	26	50
lp_0432	4378	5221	5241	5789
lp_0433	77	128	135	137
lp_0434	3200	3744	3028	2825
lp_0435	260	212	324	475
lp_0436	117	146	521	565
lp_0438	37	50	188	196
lp_0439	24	31	80	77
lp_0441	154	109	138	174
lp_0442	627	553	704	698
lp_0443	2134	2539	2303	2411
lp_0446	926	972	877	1089
lp_0447	1710	1611	1624	1802
lp_0448	2241	2035	2102	2488
lp_0449	1338	1306	1242	1458
lp_0450	1238	1305	984	1240
lp_0452	281	263	153	191
lp_0454	16592	17402	14287	16453
lp_0455	680	607	471	434
lp_0456	2107	2646	1904	2443
lp_0457	1989	2372	1857	2002
lp_0458	2940	3225	2387	2518
lp_0459	6949	8489	7035	4860
lp_0460	1749	1745	1335	1557
lp_0461	990	1070	944	1197
lp_0463	998	1046	873	812
lp_0464	773	823	600	661
lp_0466	925	668	442	507
lp_0467	8252	8287	6289	6342
lp_0469	271	200	167	232
lp_0471	21429	21852	15914	15894
lp_0472	966	1147	3122	3114
lp_0473	3471	4176	4845	4601
lp_0475	2513	3259	2688	2970
lp_0476	3348	4299	3810	4164
lp_0477	1390	1720	1679	1749
lp_0479	1480	1705	1195	1527
lp_0480	14049	15487	11205	11430
lp_0481	14835	17036	11676	13789
lp_0502	357	259	1152	1299
lp_0505	534	455	1003	1408
lp_0506	383	256	675	944
lp_0507	423	377	868	950
lp_0509	155	153	311	306
lp_0510	9408	9604	7132	7210
lp_0511	11314	11533	7232	7018
lp_0512	18322	21190	9955	5646
lp_0513	339	511	617	870
lp_0514	768	687	467	626
lp_0515	4229	4585	3733	3826
lp_0516	3224	3173	2857	3338
lp_0517	3927	3911	3555	3829
lp_0518	8101	8563	6823	6850
lp_0520	52889	58849	17170	14026
lp_0522	1922	1702	1103	1685
lp_0523	3541	3308	2300	2752
lp_0524	3640	3637	3679	2987
lp_0527	14	24	13	23
lp_0528	89	63	35	25
lp_0529	86	105	45	52
lp_0530	114	106	50	48
lp_0531	179	132	61	82
lp_0532	155	160	68	90
lp_0533	2133	2318	1005	691
lp_0535	806	1073	1256	1425
lp_0536	1520	1853	1480	1618
lp_0537	10239	11152	8817	8474
lp_0538	1271	1459	984	1003
lp_0539	7398	7526	5493	5851
lp_0540	3201	2930	2441	2180
lp_0541	1427	1239	897	829
lp_0542	4351	3219	3949	3057
lp_0543	11099	10045	8215	8517
lp_0545	3450	3772	2624	3099
lp_0546	5747	5099	4316	4986
lp_0547	49824	53241	48988	50567
lp_0548	941	718	557	731
lp_0549	1237	881	540	994
lp_0550	11593	8946	5277	7897
lp_0551	5783	6447	6291	5034
lp_0552	1218	1483	1164	1203
lp_0555	445	398	345	424
lp_0556	662	644	580	690
lp_0557	1066	1273	952	1205
lp_0558	212	263	129	125
lp_0559	5853	7000	5284	6834
lp_0561	1045	976	915	1102
lp_0562	4748	4901	5860	7456
lp_0563	3384	3537	3930	4669
lp_0564	3278	3996	3043	3372
lp_0565	3312	2603	2323	2996
lp_0566	4656	4535	4001	4654
lp_0568	4182	4437	2914	2313
lp_0569	2453	2407	1818	1938
lp_0570	747	783	616	694
lp_0571	8043	9412	6665	7253
lp_0572	5615	6214	4477	5053
lp_0574	82	129	142	160
lp_0575	15341	17022	540	604
lp_0576	11132	11935	372	377
lp_0583	3171	3209	2455	2120
lp_0585	5546	5832	8753	9235
lp_0586	1192	1287	1364	1325
lp_0587	2254	2450	2328	2795
lp_0588	3067	3288	2192	2572
lp_0589	1440	1474	1150	1244
lp_0590	6013	6943	4685	5272
lp_0591	4155	4818	3251	3430
lp_0592	4246	4888	3179	3554
lp_0593	10161	11000	7074	6833
lp_0594	858	1030	637	546
lp_0595	2267	2543	1617	1472
lp_0597	370	342	216	245
lp_0600	1204	1062	297	276
lp_0601	11067	13709	15917	18057
lp_0602	2816	3091	4210	4340
lp_0603	1609	1902	2250	2930
lp_0604	587	570	588	560
lp_0606	4512	3922	3077	3425
lp_0607	4264	3744	2471	2768
lp_0609	27738	33314	25341	27366
lp_0610	5690	5605	4299	5299
lp_0611	2373	2319	1700	2212
lp_0612	3469	3070	2499	3367
lp_0613	2993	2755	1986	2679
lp_0614	4288	4076	2494	3237
lp_0616	1334	751	1063	403
lp_0617	2930	3091	2180	1842
lp_0618	7381	7521	5365	4475
lp_0619	111596	130596	70739	73719
lp_0620	87035	90462	62469	53287
lp_0621	56765	58306	40956	32518
lp_0622	14271	14594	10697	8033
lp_0688	1239	1652	869	935
lp_0689	499	702	352	409
lp_0690	7221	6542	3556	4362
lp_0691	3306	3853	2710	2895
lp_0692	23053	24639	17587	15555
lp_0693	22751	25870	17687	15499
lp_0694	2400	2713	2607	2206
lp_0695	1781	2012	1647	1741
lp_0696	1858	2237	1642	1812
lp_0698	7710	7570	5174	6160
lp_0699	2605	2734	1615	1950
lp_0700	4222	4391	2718	3014
lp_0701	1218	1126	791	770
lp_0703	2560	2644	2064	2378
lp_0704	1041	1078	1010	971
lp_0705	4015	4266	3193	3806
lp_0706	1279	1438	973	1189
lp_0707	2007	1852	1320	1580
lp_0708	2469	2617	1725	2166
lp_0710	47	61	27	43
lp_0711	38	48	49	25
lp_0712	19	17	7	23
lp_0713	17	24	10	15
lp_0714	14	18	20	20
lp_0715	24	22	21	26
lp_0717	2005	2122	1857	1994
lp_0718	1886	2098	1722	1758
lp_0720	1583	1695	1216	1518
lp_0721	4302	4625	3409	3581
lp_0723	7326	8662	6138	6144
lp_0725	5122	5242	5333	5330
lp_0726	888	957	1106	1012
lp_0727	4761	4688	4928	5131
lp_0728	29627	31062	29893	32394
lp_0729	6679	5280	3504	3765
lp_0730	2085	2269	1490	1267
lp_0733	69	57	15	26
lp_0734	495	628	612	681
lp_0735	24	29	20	23
lp_0737	38622	51226	104036	118360
lp_0739	22675	20974	13216	14167
lp_0742	4372	4676	3483	4176
lp_0743	4158	4612	3335	3884
lp_0744	7561	8592	5634	6098
lp_0746	66	64	29	41
lp_0747	280	187	93	97
lp_0748	340	318	145	148
lp_0749	470	396	177	209
lp_0750	1061	1099	571	672
lp_0751	2227	2526	1533	1643
lp_0752	1510	1698	1415	1400
lp_0753	1985	2043	2189	1708
lp_0754	2772	2973	5076	5389
lp_0755	6324	6705	9021	10281
lp_0756	9041	9137	13047	12893
lp_0757	12989	13704	16890	16465
lp_0758	1636	1801	1470	1527
lp_0761	4101	3953	4200	5549
lp_0762	335	404	468	487
lp_0763	311	255	373	368
lp_0764	20519	21948	36053	38198
lp_0765	364	369	630	608
lp_0766	954	849	1110	1365
lp_0769	231	330	335	422
lp_0770	822	759	482	418
lp_0771	586	536	374	426
lp_0772	3818	3695	2669	2862
lp_0773	6646	6725	4487	4835
lp_0774	2162	2212	2071	2289
lp_0775	467	446	431	483
lp_0776	645	716	524	583
lp_0778	1050	1182	2208	2096
lp_0779	2327	2211	2493	3495
lp_0780	3975	3835	5129	6108
lp_0781	3053	3025	4121	3947
lp_0783	1238	1140	447	457
lp_0785	1336	1652	1209	1576
lp_0786	8227	10330	11360	11196
lp_0787	1433	1349	1195	1280
lp_0788	41785	45313	26495	21397
lp_0789	304949	348490	249034	244029
lp_0790	67821	66177	49372	47299
lp_0791	50466	48444	35005	34777
lp_0792	121495	124998	84736	84304
lp_0793	1995	2064	1132	1343
lp_0794	2296	2104	1331	1346
lp_0795	2209	2428	2562	2296
lp_0796	4119	4190	4073	4485
lp_0797	21540	23501	20601	20692
lp_0799	5646	6559	4498	4938
lp_0802	5868	5823	985	808
lp_0803	5987	6099	1003	877
lp_0804	2386	2975	2895	3048
lp_0805	2781	3329	3376	3845
lp_0806	2451	2194	6402	5978
lp_0807	4136	4393	10424	11510
lp_0809	241	261	344	350
lp_0810	479	499	582	676
lp_0811	857	1038	840	964
lp_0812	1097	1130	1078	1233
lp_0813	1291	1260	1315	1527
lp_0814	3469	3745	3523	3877
lp_0815	3744	3610	2723	3153
lp_0816	1801	1654	1122	1193
lp_0817	2273	2330	2166	2011
lp_0818	2950	2846	2186	2452
lp_0819	4063	3657	3151	3177
lp_0820	8759	9185	6964	6449
lp_0822	21432	19131	7309	6761
lp_0823	718	803	1983	1956
lp_0824	2955	3210	3468	3682
lp_0825	151	196	209	189
lp_0826	452	394	482	615
lp_0827	636	545	593	531
lp_0828	464	316	206	266
lp_0829	510	479	206	315
lp_0830	47	88	63	67
lp_0835	86	92	26	25
lp_0836	3333	3311	2046	1089
lp_0837	4383	5221	4047	3880
lp_0838	2849	3072	929	566
lp_0840	133	130	116	161
lp_0841	2423	3208	2279	2341
lp_0842	4665	5472	4201	4709
lp_0843	2483	2502	2206	2735
lp_0844	609	790	987	1076
lp_0845	48	36	32	33
lp_0846	303	372	452	459
lp_0848	1345	1074	576	400
lp_0849	109	123	2026	2126
lp_0850	58	57	199	195
lp_0853	4224	5296	5807	7126
lp_0854	1920	1945	1659	1901
lp_0856	6547	6249	4890	5004
lp_0857	4725	5625	8714	9397
lp_0858	431	489	701	885
lp_0861	1103	1310	2125	2236
lp_0862	81	72	57	93
lp_0863	745	743	485	631
lp_0864	1093	1144	813	932
lp_0865	513	497	960	487
lp_0866	929	940	618	696
lp_0868	1768	1828	1288	1756
lp_0871	8183	8035	4472	4280
lp_0872	775	1053	893	977
lp_0874	433	434	413	446
lp_0875	186	206	272	151
lp_0878	1793	1440	2712	2779
lp_0881	2236	2258	3107	4209
lp_0882	1940	2149	2817	3488
lp_0883	1216	1248	1931	1826
lp_0884	53	51	165	224
lp_0885	37	26	130	126
lp_0886	120	121	432	441
lp_0887	108	114	378	355
lp_0888	1180	1366	1552	1302
lp_0889	484	567	1057	1260
lp_0891	1226	1341	827	830
lp_0892	245	221	177	197
lp_0893	586	551	397	463
lp_0894	634	732	680	590
lp_0895	465	593	450	510
lp_0896	5309	6431	4743	5437
lp_0897	313	291	214	259
lp_0898	15	10	9	26
lp_0900	2874	3524	2410	2396
lp_0901	2777	3438	2470	2710
lp_0902	2610	3205	2325	2765
lp_0903	1012	1280	1031	1414
lp_0907	808	909	803	661
lp_0910	5800	5487	4888	6016
lp_0912	44	43	150	191
lp_0913	881	850	1090	1049
lp_0914	36108	35331	29345	32766
lp_0924	222	90	75	163
lp_0925	1112	1053	681	905
lp_0926	608	765	1556	1429
lp_0927	1987	2417	4280	5223
lp_0928	1372	1368	2716	3283
lp_0929	2524	3065	5276	7065
lp_0930	1979	2210	3710	4850
lp_0931	711	919	892	956
lp_0932	877	917	651	953
lp_0934	120	180	94	102
lp_0935	186	203	117	119
lp_0937	4261	4225	4745	5390
lp_0945	4	2	6	11
lp_0946	130	183	374	516
lp_0947	96	104	127	92
lp_0948	127	111	146	173
lp_0949	145	156	221	243
lp_0950	265	239	242	317
lp_0951	72	79	96	88
lp_0954	1818	2109	1133	1300
lp_0955	1345	1556	786	750
lp_0957	599	677	804	860
lp_0959	7494	10132	8474	10023
lp_0960	273	274	210	277
lp_0960a	52	84	74	105
lp_0962	2135	2201	1771	1963
lp_0963	1891	2379	1625	1924
lp_0965	1302	1593	706	746
lp_0966	320	222	183	351
lp_0967	379	423	507	505
lp_0968	2555	2435	1645	1567
lp_0969	2022	1751	1128	1170
lp_0970	1769	1865	1528	1603
lp_0971	1860	2420	2014	2469
lp_0972	559	646	601	794
lp_0973	0	8	16	30
lp_0975	8	4	12	20
lp_0977	4674	5588	6294	7015
lp_0979	12983	15539	9730	10538
lp_0981	272	391	304	338
lp_0982	397	529	460	555
lp_0984	751	848	352	171
lp_0988	520	543	407	579
lp_0990	1177	1317	669	545
lp_0991	1554	1776	910	805
lp_0992	263	224	196	165
lp_0995	2422	3378	3225	4009
lp_0996	3583	3910	3149	3081
lp_0997	53164	56656	40631	24621
lp_0998	666	565	426	535
lp_0999	457	349	340	337
lp_1000	9700	10532	6802	6786
lp_1001	964	996	1036	754
lp_1002	2259	3276	5285	6504
lp_1003	250	245	341	425
lp_1004	507	453	824	1124
lp_1005	7489	8076	18211	21901
lp_1008	4637	4378	2658	2252
lp_1010	4341	4553	1774	1467
lp_1011	1796	1015	715	538
lp_1018	2044	2014	1712	1905
lp_1020	1469	1454	1074	1423
lp_1021	76306	78861	63050	68403
lp_1022	85884	91264	71464	71201
lp_1023	2	0	5	3
lp_1025	37639	38638	29877	24354
lp_1026	39049	42707	31932	27536
lp_1027	121408	131195	101753	90978
lp_1032	74359	80145	45633	40229
lp_1033	91460	84200	56389	48587
lp_1034	53393	55069	34172	29463
lp_1035	43799	43674	27144	24095
lp_1036	73369	65669	43873	38989
lp_1038	34253	33049	19656	19756
lp_1039	44502	42932	24847	26519
lp_1040	47650	45485	27663	28461
lp_1041	21779	20712	12111	13165
lp_1043	25888	24451	13265	15695
lp_1044	16561	12939	10562	8168
lp_1045	21842	19477	12639	12047
lp_1046	34434	32867	18848	21060
lp_1047	38594	36933	22727	23630
lp_1050	35985	32154	19086	23157
lp_1051	43735	40743	23460	29011
lp_1052	34653	30804	18357	22451
lp_1053	26788	22994	13693	17688
lp_1054	17998	15488	9143	11816
lp_1055	11045	8466	6241	6326
lp_1056	66203	54720	34239	42805
lp_1058	22758	19820	12768	12869
lp_1059	13555	11530	8998	9144
lp_1060	17778	12071	13175	9891
lp_1061	23230	19180	17106	15111
lp_1062	61024	58080	42384	40475
lp_1063	38488	40192	24686	28493
lp_1066	1805	2146	2350	2189
lp_1067	927	1157	1230	1173
lp_1068	872	1022	1326	1101
lp_1069	4134	4579	12938	13947
lp_1070	3620	4324	13640	14095
lp_1072	1334	1273	1480	1548
lp_1073	2415	2597	2212	2195
lp_1074	2899	3409	2774	2729
lp_1075	3330	3824	2929	2821
lp_1076	2848	3108	1813	1903
lp_1077	58231	58754	38564	39504
lp_1078	41323	43263	30058	29263
lp_1079	6307	8774	7611	8408
lp_1081	4	14	10	15
lp_1084	41	55	26	59
lp_1085	171	166	168	222
lp_1088	2	0	0	1
lp_1089	1	4	2	3
lp_1090	6	6	6	10
lp_1092	124	144	186	192
lp_1093	129	120	96	125
lp_1095	740	997	329	401
lp_1096	561	689	263	245
lp_1098	402	515	475	523
lp_1101	1089	1378	1553	1682
lp_1103	1107	1419	1041	1127
lp_1105	1164	1247	1303	1564
lp_1106	1831	1938	2084	2252
lp_1107	1470	1640	1820	2137
lp_1108	2542	3138	3519	3545
lp_1109	4611	5935	6733	6494
lp_1112	492	483	316	432
lp_1113	637	637	532	721
lp_1114	379	527	343	446
lp_1115	633	735	634	764
lp_1116	321	318	300	242
lp_1118	99	69	38	39
lp_1119	26	31	9	16
lp_1120	833	1008	665	474
lp_1121	511	381	238	452
lp_1123	264	272	276	338
lp_1124	150	164	138	232
lp_1125	1482	1407	2180	2535
lp_1126	1200	1150	2090	2011
lp_1128	1548	1723	1500	1606
lp_1129	2286	2729	2419	2319
lp_1132	88	86	91	103
lp_1134	1514	1701	1740	2035
lp_1135	2523	2543	1957	2248
lp_1136	2982	4510	5293	6206
lp_1138	782	583	429	538
lp_1139	2589	2340	2256	2592
lp_1140	1475	1477	1249	1474
lp_1141	7372	6945	5641	6798
lp_1144	6948	5951	4325	5617
lp_1145	8233	7826	5100	6848
lp_1146	8380	8552	5951	6800
lp_1147	3147	2859	2068	2517
lp_1148	10130	9738	6893	8208
lp_1149	17768	17217	11566	13911
lp_1150	9393	9230	5817	6515
lp_1151	7454	7367	4806	5204
lp_1153	5284	3850	3713	5784
lp_1154	1950	1896	1585	1768
lp_1155	612	604	525	654
lp_1156	669	528	543	612
lp_1157	1696	1925	1549	1822
lp_1158	1845	2176	1660	1915
lp_1159	872	774	773	781
lp_1160	4465	4794	4548	1454
lp_1161	2763	2551	2391	2648
lp_1162	3062	3004	2721	3010
lp_1163	114	218	222	237
lp_1164	545	462	434	522
lp_1165	630	586	494	668
lp_1166	2524	2969	2371	2790
lp_1168	165	119	421	623
lp_1169	3225	4009	4767	4761
lp_1171	76	69	49	73
lp_1173	3485	4275	2399	2378
lp_1174	542	565	505	411
lp_1175	6740	7376	2023	1999
lp_1239	860	724	177	268
lp_1240	1666	1592	617	1033
lp_1241	7091	7305	5840	4206
lp_1242	46	22	26	50
lp_1243	589	569	290	363
lp_1244	1863	1638	882	1029
lp_1245	771	1191	1487	1882
lp_1247	3998	3568	2473	2565
lp_1248	1964	2016	1338	1128
lp_1249	675	916	1374	1667
lp_1250	845	1010	1683	2206
lp_1251	333	397	668	642
lp_1253	5928	7974	14852	14611
lp_1255	6780	7310	6055	6527
lp_1256	148	135	77	87
lp_1257	1282	1467	1548	1744
lp_1258	556	499	447	482
lp_1259	783	579	366	461
lp_1260	662	537	306	415
lp_1262	390	420	664	834
lp_1263	650	724	1064	1371
lp_1264	744	934	1419	1569
lp_1265	892	964	1399	1720
lp_1267	1553	1724	1560	1434
lp_1268	175	89	54	57
lp_1273	13466	11719	26810	24079
lp_1274	61719	62536	119240	127850
lp_1275	6539	6665	4655	5223
lp_1276	3578	3573	3035	3102
lp_1277	3037	3098	2458	2339
lp_1278	3547	3835	2018	1920
lp_1280	4831	6551	6584	7535
lp_1281	5502	5717	5194	5068
lp_1289	56	49	55	61
lp_1290	79	49	85	74
lp_1291	484	476	523	733
lp_1292	4608	4867	1487	1444
lp_1293	634	764	470	693
lp_1295	553	674	765	864
lp_1296	491	610	679	830
lp_1297	163	195	175	153
lp_1298	74	90	100	133
lp_1299	900	994	667	997
lp_1300	761	741	665	400
lp_1301	11449	14008	9428	9272
lp_1302	335	416	176	218
lp_1311	930	929	875	1073
lp_1313	211	220	199	243
lp_1314	2765	3573	2308	2357
lp_1315	543	583	613	645
lp_1316	18278	20494	15483	17042
lp_1317	4511	4097	3642	3564
lp_1319	3450	3165	2187	2293
lp_1320	370	529	552	799
lp_1321	6201	7162	7132	7942
lp_1322	4250	4634	4472	5033
lp_1324	12	7	12	15
lp_1325	12	10	6	2
lp_1326	4	6	8	8
lp_1327	73	81	67	77
lp_1328	350	390	311	376
lp_1329	11006	13260	11107	10922
lp_1330	1135	1016	1425	1123
lp_1333	46	62	53	39
lp_1334	274	300	209	201
lp_1335	189	239	176	199
lp_1336	287	290	230	273
lp_1339	176	198	221	374
lp_1341	96	96	55	71
lp_1342	232	251	152	189
lp_1343	208	191	184	146
lp_1353	275	171	990	1314
lp_1354	741	682	1342	1396
lp_1355	1585	1529	968	863
lp_1356	1145	1172	808	710
lp_1357	4812	4576	2340	2296
lp_1358	2907	2986	1391	1269
lp_1360	5864	6916	8996	8424
lp_1362	227	247	301	383
lp_1363	773	768	639	567
lp_1364	4258	4964	4125	4848
lp_1369	1121	1487	1067	1022
lp_1370	431	539	422	441
lp_1371	1844	2055	1876	1871
lp_1372	704	567	469	273
lp_1373	658	701	486	624
lp_1374	52	126	94	102
lp_1375	43	52	64	80
lp_1377	40	34	13	22
lp_1378	40	34	44	41
lp_1379	64	59	50	79
lp_1380	91	68	81	54
lp_1381	261	260	150	155
lp_1385	14	30	4	12
lp_1386	221	178	90	59
lp_1388	1351	993	724	358
lp_1390	694	632	335	341
lp_1391	5849	5677	4017	3839
lp_1392	11	27	45	52
lp_1395	146	265	324	400
lp_1403	178	251	99	159
lp_1406	956	779	751	577
lp_1407	1511	1829	1971	2258
lp_1409	15	17	17	13
lp_1410	806	731	341	470
lp_1411	956	1020	671	803
lp_1412	244	362	217	216
lp_1413	6924	6022	3960	3654
lp_1415	3491	2949	2689	2266
lp_1416	1593	1551	887	825
lp_1417	5186	5274	2763	2958
lp_1418	2090	1978	1302	1455
lp_1420	18	39	45	58
lp_1422	325	389	386	423
lp_1424	153	188	73	51
lp_1425	316	310	206	281
lp_1426	504	504	648	698
lp_1427	602	832	563	474
lp_1430	517	574	551	608
